gisaid_epi_isl,strain,date,host
EPI_ISL_632437,mink/Netherlands/NB-EMC-62-5/2020,2020-10-05,Mink
EPI_ISL_3053891,France/PAC-IHU-16245-Nova1M/2021,2020-04-01,Human
EPI_ISL_467608,USA/NM-UNM-00027/2020,2020-03-15,Human
EPI_ISL_1912829,USA/NJ-NYGC-S-OM-5214-DDRS911/2021,2021-02-08,Human
EPI_ISL_427322,Russia/StPetersburg-RII4655S/2020,2020-04-05,Human
EPI_ISL_2796883,USA/CA-CDPH-2000032913/2021,2021-01-26,Human
EPI_ISL_484153,England/GSTT-265E0F8/2020,2020-03-31,Human
EPI_ISL_8194885,Egypt/NRC-6376/2020,2020-07-26,Human
EPI_ISL_1457902,USA/CA-CDC-FG-010237/2021,2021-03-08,Human
EPI_ISL_889796,USA/LA-EVTL1824/2021,2021-01-19,Human
EPI_ISL_7617588,Canada/QC-1nDJXQ-2008201016A/2020,2020-03-22,Human
EPI_ISL_2141682,mink/Latvia/2104/2021,2021-04-12,Mink
EPI_ISL_3653743,Turkey/HSGM-D21554/2021,2021-08-20,Human
EPI_ISL_6261983,lion/SouthAfrica/ZARV-ZRU125/2021,2021-06-22,Panthera leo
EPI_ISL_1134661,USA/PA-CDC-STM-000013410/2021,2021-02-10,Human
EPI_ISL_1379287,USA/NJ-S-OM-2437-BGRT244/2021,2021-02-01,Human
EPI_ISL_8783193,Poland/5203.01/2022,2022-01-16,Human
EPI_ISL_8691511,USA/MA-CDCBI-CRSP_SCXKHWDVIO3YYABM/2022,2022-01-03,Human
EPI_ISL_8517925,Latvia/5084/2021,2021-06-11,Human
EPI_ISL_2798081,USA/CA-CDPH-2000036173/2021,2021-02-02,Human
EPI_ISL_584478,England/CWAR-24FDAE0/2020,2020-05-03,Human
EPI_ISL_5087124,USA/TX-HMH-MCoV-46385/2020,2020-07-23,Human
EPI_ISL_425715,Scotland/CVR175/2020,2020-03-17,Human
EPI_ISL_979772,USA/CA-CZB-19178/2020,2020-12-08,Human
EPI_ISL_1159505,USA/IL-CDC-QDX22026965/2021,2021-02-12,Human
EPI_ISL_467545,USA/NM-UNM-00100/2020,2020-04-01,Human
EPI_ISL_6123998,tiger/USA/NE-TIGER_NCOV21-40166/2021,2021-11-06,Panthera tigris
EPI_ISL_3355985,India/UP-CWS-0482_51413308/2021,2021-05,Human
EPI_ISL_3473611,India/MH-ICMR-MCL_5731_5787/2020,2020-11,Human
EPI_ISL_8721616,Brazil/SP-IB_146689/2021,2021-12-30,Human
EPI_ISL_2243669,USA/AL-CDC-ASC210004274/2021,2021-03-12,Human
EPI_ISL_483063,cat/France/Env-Ba/2020,2020-05-14,Felis catus
EPI_ISL_1132316,USA/FL-BPHL-0544/2021,2021-02-05,Human
EPI_ISL_1254049,USA/PA-CDC-QDX22446263/2021,2021-02-22,Human
EPI_ISL_641472,mink/Denmark/mDK-80/2020,2020-09-09,Mink
EPI_ISL_1228044,USA/NY-Wadsworth-21023322-01/2021,2021-02-09,Human
EPI_ISL_3943831,USA/CO-CDPHE-2010062220/2020,2020-10-05,Human
EPI_ISL_984021,USA/WI-WSLH-210132/2021,2021-01-07,Human
EPI_ISL_2987778,Turkey/HSGM-B18370/2021,2021-06-23,Human
EPI_ISL_3653643,Turkey/HSGM-D21021/2021,2021-08-20,Human
EPI_ISL_3039352,Slovenia/296418/2021,2021-06-21,Human
EPI_ISL_2021012,USA/WY-WYPHL20130815/2021,2021-04-03,Human
EPI_ISL_1159333,USA/FL-CDC-QDX22120988/2021,2021-02-17,Human
EPI_ISL_1292141,USA/AZ-TG758700/2020,2020-11-17,Human
EPI_ISL_5442872,USA/CA-CDPH-2000015408/2020,2020-12-16,Human
EPI_ISL_2838966,USA/OR-OHSU-7323/2020,2020-12-07,Human
EPI_ISL_3353658,USA/CA-CDC-2-3829523/2021,2021-01-13,Human
EPI_ISL_412976,bat/Yunnan/RmYN01/2019,2019-06-25,Rhinolophus malayanus
EPI_ISL_3358574,Lithuania/S21G209/2021,2021-07-12,Human
EPI_ISL_5517728,USA/IL-IDPH-STE-S-000605/2020,2020-05-09,Human
EPI_ISL_8735661,England/ALDP-31ABB0C/2022,2022-01-06,Human
EPI_ISL_826134,Canada/Qc-JEW-Q9072540/2020,2020-05-07,Human
EPI_ISL_2293787,Canada/Qc-HCLM-7051651399/2021,2021-02-03,Human
EPI_ISL_887772,USA/MD-CDC-LC00000453/2020,2020-12-27,Human
EPI_ISL_2734465,England/EKHU-260F4EB/2020,2020-10-01,Human
EPI_ISL_1265354,mink/Netherlands/NB06_13KS/2020,2020-05-30,Mink
EPI_ISL_4377214,USA/IN-CDC-LC0033336/2021,2021-03-19,Human
EPI_ISL_471242,USA/WI-WSLH-200077/2020,2020-04-21,Human
EPI_ISL_1362892,USA/MO-MSPHL-000350/2020,2020-11-30,Human
EPI_ISL_446041,Wales/PHWC-2DF3D/2020,2020-04-10,Human
EPI_ISL_2727489,USA/OR-OSPHL01060/2020,2020-06-16,Human
EPI_ISL_2746031,England/PHEC-31F487/2021,2021,Human
EPI_ISL_802477,USA/NY-Wadsworth-21001291-01/2020,2020-12-30,Human
EPI_ISL_1064211,USA/NM-UNM-01852/2021,2021-01-15,Human
EPI_ISL_2382009,USA/OH-ODH-SC041740/2020,2020-06-03,Human
EPI_ISL_1090916,USA/FL-CDC-QDX21871823/2021,2021-02-08,Human
EPI_ISL_522352,USA/TX-DSHS-0066/2020,2020-05-09,Human
